id,name,image,symbol,companyName,founded,price,beta,volAvg,mktCap,lastDiv,range,changes,currency,cik,isin,cusip,exchange,exchangeShortName,industry,website,description,ceo,sector,country,fullTimeEmployees,phone,address,city,state,zip,dcfDiff,dcf,ipoDate,defaultImage,isEtf,isActivelyTrading,isAdr,isFund
1,Volkswagen,Volkswagen_image.png,VOW3.DE,Volkswagen AG,1937,,,,,,,,,,,,,,,,"Volkswagen AG ist ein deutscher Automobilhersteller mit Sitz in Wolfsburg. Das Unternehmen ist einer der weltweit führenden Automobilhersteller und produziert Fahrzeuge unter verschiedenen Marken wie Volkswagen, Audi, Porsche, und mehr. Volkswagen hat eine lange Geschichte in der Automobilbranche und ist bekannt für seine Innovationskraft und technologischen Fortschritte. Mit einer starken Marktposition und einem breiten Produktportfolio ist Volkswagen ein wichtiger Akteur in der globalen Automobilindustrie.",Herbert Diess,,,,,,,,,,,,False,False,True,False,False
2,Schwarz-Gruppe,Schwarz-Gruppe_image.png,NONE,Schwarz-Gruppe,1930,,,,,,,,,,,,,,,,"Die Schwarz-Gruppe ist ein deutsches Familienunternehmen, das im Einzelhandel tätig ist. Sie ist vor allem bekannt für ihre Einzelhandelsketten Lidl und Kaufland. Die Geschichte des Unternehmens reicht bis ins Jahr 1930 zurück. Die Schwarz-Gruppe ist einer der führenden Einzelhändler in Europa und hat eine starke Marktposition in verschiedenen Ländern. Wichtige Fakten sind unter anderem die hohe Umsatzstärke und die kontinuierliche Expansion in neue Märkte.",Klaus Gehrig,,,,,,,,,,,,False,False,False,False,False
3,BMW,BMW_image.png,BMW,Bayerische Motoren Werke AG,1916,,,,,,,,,,,,,,,,"Die Bayerische Motoren Werke AG, allgemein bekannt als BMW, ist ein deutscher multinationaler Hersteller von Automobilen, Motorrädern und Motoren. Das Unternehmen wurde 1916 gegründet und hat seinen Hauptsitz in München. BMW ist bekannt für seine hochwertigen Fahrzeuge und hat eine starke Marktposition im Premiumsegment der Automobilindustrie. Zu den wichtigen Fakten gehören die Fokussierung auf Innovation, Design und Fahrspaß.",Oliver Zipse,,,,,,,,,,,,False,False,False,False,False
4,Mercedes-Benz,Mercedes-Benz_image.png,NONE,Mercedes-Benz,1883,,,,,,,,,,,,,,,,"Mercedes-Benz ist ein deutscher Automobilhersteller, der für seine Luxusfahrzeuge weltweit bekannt ist. Das Unternehmen hat eine lange Geschichte in der Automobilbranche und ist für seine Innovationen und Qualitätsstandards anerkannt. Mercedes-Benz gehört zu den führenden Automobilherstellern und hat eine starke Marktposition in verschiedenen Segmenten.",Ola Källenius,,,,,,,,,,,,False,False,False,False,False
5,Lidl,Lidl_image.png,LIDL,Lidl Stiftung & Co. KG,1973,,,,,,,,,,,,,,,,"Lidl ist ein international tätiger Lebensmitteldiscounter mit Hauptsitz in Neckarsulm, Deutschland. Das Unternehmen wurde 1973 gegründet und ist bekannt für sein breites Sortiment an preisgünstigen Lebensmitteln und Non-Food-Produkten. Lidl ist Teil der Schwarz Gruppe und hat sich zu einem der führenden Discounter in Europa entwickelt.","Dyckerhoff, Gerd",,,,,,,,,,,,False,False,True,False,False
6,Deutsche Telekom,Deutsche_Telekom_image.png,DTE,Deutsche Telekom,1905,,,,,,,,,,,,,,,,"Deutsche Telekom ist ein führendes Telekommunikationsunternehmen mit Hauptsitz in Bonn, Deutschland. Das Unternehmen bietet eine Vielzahl von Telekommunikationsdiensten, einschließlich Mobilfunk, Festnetz, Breitbandinternet und digitale Dienstleistungen. Deutsche Telekom ist international tätig und hat eine starke Marktposition in Europa. Das Unternehmen wurde 1995 gegründet und hat sich seitdem zu einem der größten Telekommunikationsanbieter weltweit entwickelt.",Timotheus Höttges,,,,,,,,,,,,False,False,True,False,False
7,Uniper,Uniper_image.png,UN01.DE,Uniper SE,2016,,,,,,,,,,,,,,,,"Uniper SE ist ein deutsches Energieunternehmen mit Sitz in Düsseldorf. Das Unternehmen entstand 2016 als Abspaltung von E.ON und konzentriert sich auf den Betrieb von Kraftwerken, den Handel mit Energie und den Ausbau erneuerbarer Energien. Uniper ist in Europa und anderen Teilen der Welt tätig und zählt zu den führenden Unternehmen in der Energiebranche.",Dr. Klaus-Dieter Maubach,,,,,,,,,,,,False,False,True,False,False
8,E.ON,E.ON_image.png,EOAN.DE,E.ON SE,2016,,,,,,,,,,,,,,,,"E.ON SE ist ein deutsches Energieunternehmen mit Sitz in Essen. Das Unternehmen ist im Bereich der Energieerzeugung, -verteilung und -vermarktung tätig. E.ON hat eine lange Geschichte in der Energiebranche und zählt zu den führenden Energieunternehmen in Europa. Zu den wichtigsten Fakten gehören die Fokussierung auf erneuerbare Energien, die kontinuierliche Weiterentwicklung von Energieinfrastrukturen und der Einsatz innovativer Technologien.",Johannes Teyssen,,,,,,,,,,,,False,False,True,False,False
9,Bosch,Bosch_image.png,BOSCH,Robert Bosch GmbH,1886,,,,,,,,,,,,,,,,"Die Robert Bosch GmbH ist ein weltweit führendes Technologie- und Dienstleistungsunternehmen mit den Geschäftsbereichen Mobility Solutions, Industrial Technology, Consumer Goods, und Energy and Building Technology. Das Unternehmen wurde 1886 von Robert Bosch gegründet und hat sich seitdem zu einem der größten Automobilzulieferer der Welt entwickelt. Bosch ist bekannt für seine Innovationskraft, Qualität und Nachhaltigkeitsbemühungen.",Volkmar Denner,,,,,,,,,,,,False,False,False,False,False
10,BASF,BASF_image.png,BASF,BASF SE,1865,,,,,,,,,,,,,,,,"BASF SE ist ein deutsches Chemieunternehmen und einer der größten Chemiekonzerne der Welt. Das Unternehmen ist in den Bereichen Chemikalien, Kunststoffe, Veredelungsprodukte, Pflanzenschutzmittel, Feinchemikalien, Öl und Gas tätig. BASF hat eine lange Geschichte und ist für seine Innovationskraft und Nachhaltigkeitsbemühungen bekannt. Das Unternehmen hat eine starke Marktposition und ist global aktiv.",Dr. Martin Brudermüller,,,,,,,,,,,,False,False,False,False,False
11,Rewe,Rewe_image.png,NONE,Rewe Group,1927,,,,,,,,,,,,,,,,"Die Rewe Group ist ein deutscher Handelskonzern mit einem breiten Portfolio an Supermärkten, Discountern und Fachmärkten. Das Unternehmen wurde 1927 gegründet und hat sich zu einem der führenden Einzelhändler in Europa entwickelt. Die Rewe Group ist bekannt für ihre vielfältigen Handelsmarken und ihr Engagement für Nachhaltigkeit und soziale Verantwortung.",Lionel Souque,,,,,,,,,,,,False,False,False,False,False
12,DHL,DHL_image.png,DHL,DHL International GmbH,1969,,,,,,,,,,,,,,,,"Die DHL International GmbH ist ein weltweit führender Logistikdienstleister mit Schwerpunkt auf Express- und Paketdienstleistungen. Das Unternehmen wurde 1969 gegründet und hat sich seitdem zu einem wichtigen Akteur im globalen Logistikmarkt entwickelt. DHL ist bekannt für seine Zuverlässigkeit, Effizienz und innovative Lösungen. Mit einer starken Marktposition und einem breiten Leistungsspektrum ist DHL ein wichtiger Partner für Unternehmen und Privatkunden weltweit.",Frank Appel,,,,,,,,,,,,False,False,False,False,False
13,Innogy,Innogy_image.png,NONE,Innogy,2000,,,,,,,,,,,,,,,,"Innogy ist ein Energieunternehmen, das sich auf erneuerbare Energien, Netze und Vertrieb spezialisiert hat. Das Unternehmen wurde im Jahr 2000 gegründet und hat sich seitdem zu einem führenden Akteur im Bereich der nachhaltigen Energieentwicklung entwickelt. Innogy ist bekannt für seine Innovationskraft, seine starke Marktposition und sein Engagement für Umweltschutz und Nachhaltigkeit.",Max Mustermann,,,,,,,,,,,,False,False,False,False,False
14,Siemens,Siemens_image.png,SIE,Siemens AG,1847,,,,,,,,,,,,,,,,"Siemens AG ist ein weltweit führendes Technologieunternehmen mit den Schwerpunkten Industrie, Energie und Gesundheit. Das Unternehmen wurde 1847 gegründet und hat sich seitdem zu einem der bedeutendsten Unternehmen in der Elektronik- und Elektrotechnikbranche entwickelt. Siemens ist bekannt für seine Innovationen, seine globale Präsenz und seine vielfältigen Produkte und Dienstleistungen.",Roland Busch,,,,,,,,,,,,False,False,True,False,False
15,Edeka,Edeka_image.png,NONE,Edeka,1907,,,,,,,,,,,,,,,,"Edeka ist eine der größten Supermarktketten in Deutschland. Das Unternehmen wurde 1907 gegründet und hat sich im Laufe der Jahre zu einem wichtigen Akteur im Einzelhandel entwickelt. Edeka bietet eine breite Palette von Lebensmitteln und Non-Food-Produkten an und ist bekannt für seine Vielfalt, Qualität und Kundennähe. Mit Tausenden von Filialen im ganzen Land ist Edeka fest in der deutschen Gesellschaft verankert und spielt eine bedeutende Rolle in der Versorgung der Bevölkerung mit Gütern des täglichen Bedarfs.",Unbekannt,,,,,,,,,,,,False,False,False,False,False
16,Audi,Audi_image.png,AUDI.DE,Audi AG,1909,,,,,,,,,,,,,,,,"Audi AG ist ein deutscher Automobilhersteller mit Sitz in Ingolstadt. Das Unternehmen ist bekannt für die Produktion von hochwertigen Fahrzeugen, darunter Limousinen, SUVs und Sportwagen. Audi ist Teil der Volkswagen AG und hat eine starke Marktposition im Premiumsegment der Automobilbranche. Das Unternehmen legt großen Wert auf Innovation, Technologie und Design.",Markus Duesmann,,,,,,,,,,,,False,False,True,False,False
